Fri Apr 30 04:37:09 +0000 2021	{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.7096}	b' stardust Then Good luck with vaccine Fiocruz.'
Sun Apr 25 16:20:23 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b"It's almost as if the vaccine works."
Sun Apr 25 15:18:05 +0000 2021	{'neg': 0.226, 'neu': 0.729, 'pos': 0.045, 'compound': -0.7351}	b'Denying Palestinians of the vaccine is another act of racism Israel is committing against Palestinians. \xe2\x80\x98israel\xe2\x80\x99 is obligated to vaccinate Palestinians under international law.'
Sun Apr 25 14:45:57 +0000 2021	{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.4404}	b'In 2021, the financial performance of the airline industry will be more varied across regions compared to 2020. Regions with large domestic markets and rapid vaccine rollout are expected to perform better in 2021. Iata'
Sun Apr 25 12:37:15 +0000 2021	{'neg': 0.035, 'neu': 0.926, 'pos': 0.039, 'compound': 0.0387}	b' B Petersen Something like \xe2\x80\x98we have reserved your (free) vaccine for you under your name. We will hold it for you until .... after which it will be donated to another recipient. After this date you can schedule a vaccine appointment but will incur a co pay.'
Sun Apr 25 10:12:00 +0000 2021	{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.6189}	b'When will you also not register the Palestinians? Do they not have the right to receive the full vaccine? Do you still see Israel as a role model? ??? It broke all laws.!'
Sun Apr 25 09:27:07 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x92\x94 Israeli-French fashion deisgner Alber Elbaz dies from COVID-19 - Haaretz | Israel news, COVID vaccine data, the Middle East and the Jewish World -'
Sun Apr 25 06:57:30 +0000 2021	{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}	b'Correct and I think the context they were using is the Covid vaccine is like the Holocaust \xf0\x9f\x98\xa4'
Sat Apr 24 21:13:50 +0000 2021	{'neg': 0.185, 'neu': 0.779, 'pos': 0.036, 'compound': -0.7964}	b'Are you implying that Israel should be an example for the countries of the world? It is a role model in racism and crime only. Israel must have a moral and legal obligation to administer the vaccine.'
Sat Apr 24 15:28:59 +0000 2021	{'neg': 0.093, 'neu': 0.823, 'pos': 0.085, 'compound': -0.0772}	b'If US unable to lifting ban on vaccine raw materials then close all relationships with US ; make close relationship with Russia and other nation for future development. we will make a strong nation against all..'
Thu Apr 22 23:53:53 +0000 2021	{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.6124}	b'Six years, every word: Berlin, 1933 and Jerusalem, 2014: When racist thugs are on the prowl - Haaretz | Israel news, COVID vaccine data, the Middle East and the Jewish World -'
Thu Apr 22 18:49:31 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'"Israel "is obligated to provide the vaccine to the Palestinians under the international law.'
Thu Apr 22 11:58:13 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'" Israel " is obliged to provide the Palestinians the vaccine as it does to its settlers.'
Thu Apr 22 11:57:49 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Israel is obligated to provide the vaccine to the Palestinians in accordance with international law.'
