Thu May 13 05:24:39 +0000 2021	{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}	b'China export delay halts Sinovac Covid-19 vaccine production in Brazil'
Tue May 11 02:11:48 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'As of 8pm last night, about 2,900 persons have made online bookings for receiving their first and second doses of the Sinovac vaccine, while about 9,100 persons have made online bookings for receiving their first and second doses of the BioNTech vaccine.'
Tue May 11 02:11:47 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 COVID-19 Vaccination Statistics, May 10th Sinovac: 4,859 received 1st dose. Total 481,818 3,087 received 2nd dose. Total 344,575 BioNTech: 10,831 received 1st dose. Total 605,384 15,951 received 2nd dose. Total 344,682 1st dose: 1,087,202 Fully vaccinated: 689,257'
Mon May 10 16:12:27 +0000 2021	{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.5122}	b" mehra I live in Hong Kong. Most of the public are sceptical and don't see any incentive to get vaccinated. Immigrants are more likely to opt to take the vaccine. This is despite the fact that Pfizer is readily available and you don't have to take Sinovac."
Mon May 10 14:49:20 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 10 Online vaccine signups (4/5) Sinovac 2900 \xe2\x86\x91800 BioNTech 9100 \xe2\x86\x912300 Overall 12000 \xe2\x86\x913100 Cases Involving Persons Sent to Hospital (Last 24 hours ending 0000 May 10): 7 Today\xe2\x80\x99s press release:'
Mon May 10 12:16:55 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 Other vaccination stats (3/5) Second dose compliance: 96.73% 7-day rolling average: 35255 Despite the Sinovac vaccine having a 12-day head start and the various production issues with BioNTech, more people are now fully vaccinated with the BioNTech vaccine than with Sinovac'
Mon May 10 12:12:03 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'For the first time since the vaccination program began, more people are now fully vaccinated with the BioNTech vaccine than with Sinovac'
Mon May 10 12:10:49 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 10 Vaccinations (2/5) -Sinovac 1st dose 4859 \xe2\x86\x9128.3% 2nd dose 3087 \xe2\x86\x935.9% -BioNTech 1st dose 10831 \xe2\x86\x9310.9% 2nd dose 15951 \xe2\x86\x9311.4% Total Doses 1776459 -SV 826393 BNT 950066 -1st dose 1087202 SV 481818 BNT 605384 -2nd dose 689257 SV 344575 BNT 344682'
Mon May 10 12:09:52 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 10 Vaccinations 14.546% of population vaccinated 9.222% fully vaccinated 23.768 doses administered/100 people 0.210% newly vaccinated May 10: 34728 \xe2\x86\x936.7% -1st dose 15690 \xe2\x86\x931.6% -2nd dose 19038 \xe2\x86\x9310.5% -Sinovac 7946 \xe2\x86\x9112.4% -BioNTech 26782 \xe2\x86\x9311.2%'
Mon May 10 11:43:17 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Sinovac is an inactivated vaccine, where spike proteins are still kept ...'
Mon May 10 10:50:12 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Doses administered by vaccine Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 BioNTech 923240 (53.0%) Sinovac 818442 (47.0%) Macau \xf0\x9f\x87\xb2\xf0\x9f\x87\xb4 BioNTech 19004 (15.8%) Sinopharm 101290 (84.2%) Source'
Mon May 10 10:28:40 +0000 2021	{'neg': 0.317, 'neu': 0.536, 'pos': 0.147, 'compound': -0.5859}	b'And subsequent spades of death has destroyed whatever trust people might have about Sinovac vaccines\xe2\x80\xa6'
Mon May 10 09:44:23 +0000 2021	{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.4215}	b' hku And to state obvious, you see lots of people taking Sinovac here for the explicitly political (and unscientific) reason that China is making it easier to travel there if you have a Chinese vaccine, rather than a western one.'
Mon May 10 09:19:58 +0000 2021	{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.4019}	b" hku Hong Kong went for a spread bet tactic on the vaccines at the advice of its own epidemiologists. That was a sensible, scientific approach. What's interesting, however, is almost every medical expert personally opted to take BioNTech while govt officials went for Sinovac"
Mon May 10 09:17:03 +0000 2021	{'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.7096}	b'Early Sinovac untimely and unfortunate deaths scared the pro government crowd too.'
Mon May 10 08:54:52 +0000 2021	{'neg': 0.145, 'neu': 0.823, 'pos': 0.032, 'compound': -0.6848}	b' writing Yeah, exactly, including arguably the most coveted shot in the world: the Pfizer/BioNTech one. Also, folks can choose Sinovac. Generally, many thought Sinovac would be preferred but daily bookings for it now really lag BioNTech. Tho there are empty daily booking slots for both'
Mon May 10 07:46:43 +0000 2021	{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.5574}	b'After mass vaccinations, a town in Brazil begins to return to normal as the Covid-19 pandemic continues to rage across the rest of the country Sinovac CoronaVac via'
Mon May 10 07:42:13 +0000 2021	{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.1531}	b"  If they want to implement it, they're going to implement it. Likely after they make vaccinations mandatory when the last of the BioNTech shots expire and we're left with Sinovac."
Mon May 10 06:39:58 +0000 2021	{'neg': 0.09, 'neu': 0.713, 'pos': 0.197, 'compound': 0.6908}	b". gave EUA to Sinopharm's vaccine and will likely issue it to Sinovac this week. This could dramatically help the vaccine supply problems in India. , it's okay to drop your ego and ask your neighbors for support. Pick up phone. Make the call. Save Lives. \xf0\x9f\x99\x8f"
Mon May 10 06:14:22 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'So for once I am officially on-trend ... vaccine Pfizer hotpersonvaccine'
Mon May 10 03:19:32 +0000 2021	{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}	b'Second dose of Sinovac. Thank you Rural Health Unit of Bambang.'
Mon May 10 02:58:41 +0000 2021	{'neg': 0.032, 'neu': 0.827, 'pos': 0.141, 'compound': 0.6705}	b'Thanks for the reply. I guess the main question of so many, myself included is, will I be better off getting a high-efficacy vaccine (Astra, Pfizer, etc.) or will I get the same "protection" from getting Sinovac? Sorry, that\'s a layman asking.'
Mon May 10 02:14:53 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b"Question: how does Sinovac's 50% efficacy figure out in your analysis, as opposed to the other vaccines with a much efficacy rate?"
Mon May 10 01:56:04 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'As of 8pm last night, about 2,100 persons have made online bookings for receiving their first and second doses of the Sinovac vaccine, while about 6,800 persons have made online bookings for receiving their first and second doses of the BioNTech vaccine.'
Mon May 10 01:56:03 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 COVID-19 Vaccination Statistics, May 9th Sinovac: 3,783 received 1st dose. Total 476,955 3,281 received 2nd dose. Total 341,487 BioNTech: 12,136 received 1st dose. Total 594,533 17,971 received 2nd dose. Total 328,707 1st dose: 1,071,488 Fully vaccinated: 670,194'
Sun May 09 14:44:47 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 9 Online vaccine signups (4/5) Sinovac 2100 \xe2\x86\x93600 BioNTech 6800 \xe2\x86\x931800 Overall 8900 \xe2\x86\x932400 (lowest since Apr 11) Cases Involving Persons Sent to Hospital (Last 24 hours ending 0000 May 9): 13 Today\xe2\x80\x99s press release:'
Sun May 09 12:24:01 +0000 2021	{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.3818}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 Other vaccination stats (3/5) Second dose compliance: 96.73% 7-day rolling average: 35678 7064 Sinovac doses administered is the lowest since March 1, the fourth day of the public vaccination program. In the past week: 119,336 newly vaccinated, 130,411 newly fully vaccinated'
Sun May 09 12:18:37 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 9 Vaccinations (2/5) -Sinovac 1st dose 3783 \xe2\x86\x9322.9% 2nd dose 3281 \xe2\x86\x9317.8% -BioNTech 1st dose 12136 \xe2\x86\x930.9% 2nd dose 17971 \xe2\x86\x9314.2% Total Doses 1741682 -SV 818442 BNT 923240 -1st dose 1071488 SV 476955 BNT 594533 -2nd dose 670194 SV 341487 BNT 328707'
Sun May 09 12:17:34 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 9 Vaccinations 14.336% of population vaccinated 8.967% fully vaccinated 23.303 doses administered/100 people 0.213% newly vaccinated May 9: 37171 \xe2\x86\x9311.7% -1st dose 15919 \xe2\x86\x937.2% -2nd dose 21252 \xe2\x86\x9314.8% -Sinovac 7064 \xe2\x86\x9320.6% -BioNTech 30107 \xe2\x86\x939.3%'
Sun May 09 09:24:12 +0000 2021	{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.2023}	b"To add: if I had the choice between Sinovac and BioNTech (and I did), I'd take BioNTech. If I had the choice of Sinovac and taking my chances with COVID-19, I'd take Sinovac."
Sun May 09 08:47:09 +0000 2021	{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.2942}	b" grey2002 Surprised they didn't just lie about it and said all were vaxxed with sinovac!"
Sun May 09 06:47:59 +0000 2021	{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7184}	b"Doctor's orders, you gain social credit via sinovac"
Sun May 09 06:39:11 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'If vaccine efficacy were high school exam scores, Sinovac would have gone into law enforcement.'
Sun May 09 06:35:45 +0000 2021	{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.0191}	b'9/ we can\'t reach herd immunity if you count SINOVAC jabbed people as "vaccinated"'
Sun May 09 06:30:05 +0000 2021	{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.4303}	b' Org Vaccinated with sinovac the least effective vax available, take a look at the Seychelles!'
Sun May 09 06:24:21 +0000 2021	{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.7919}	b'[Thread] Reasons/excuses I heard why HKers do not want to get jabbed... 1/ HK Gov keep saying the SINOVAC related deaths are unrelated, I am scared I might die'
Sun May 09 02:00:03 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'As of 8pm last night, about 2,700 persons have made online bookings for receiving their first and second doses of the Sinovac vaccine, while about 8,600 persons have made online bookings for receiving their first and second doses of the BioNTech vaccine.'
Sun May 09 02:00:02 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 COVID-19 Vaccination Statistics, May 8th Sinovac: 4,885 received 1st dose. Total 473,151 3,983 received 2nd dose. Total 338,197 BioNTech: 12,214 received 1st dose. Total 582,366 20,888 received 2nd dose. Total 310,680 1st dose: 1,055,517 Fully vaccinated: 648,877'
Sun May 09 01:29:02 +0000 2021	{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.8625}	b' Talk Yes. That\xe2\x80\x99s a bit of a generic recommendation for all approved vaccines to boost vaccination rates, though. On a different note, Hong Kong has been giving Sinovac vaccines since February to the (very few) over 60 going forward for vaccination (2 doses, 28 days apart).'
Sun May 09 00:45:14 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'That was the reason I chose Sinovac over Pfizer'
Sat May 08 23:47:40 +0000 2021	{'neg': 0.079, 'neu': 0.823, 'pos': 0.098, 'compound': 0.2263}	b'...attachment mechanism, so if the virus finds another way to attach to your cells, then you\xe2\x80\x99re no longer protected. Sinovac/Sinopharm train your body to destroy the virus, so in my view offers longer term protection, but obviously your immune system may not respond correctly.'
Sat May 08 15:54:14 +0000 2021	{'neg': 0.0, 'neu': 0.959, 'pos': 0.041, 'compound': 0.0258}	b"The health body is yet to reach a decision on China's Sinovac vaccine. WHO experts on Friday said they were awaiting additional information before they could make a recommendation."
Sat May 08 14:30:05 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 8 Online vaccine signups (4/5) Sinovac 2700 \xe2\x86\x93600 BioNTech 8600 \xe2\x86\x932500 Overall 11300 \xe2\x86\x933100 Cases Involving Persons Sent to Hospital (Last 24 hours ending 0000 May 8): 16 Today\xe2\x80\x99s press release:'
Sat May 08 14:18:00 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 8 Vaccinations (2/5) -Sinovac 1st dose 4885 \xe2\x86\x939.3% 2nd dose 3983 \xe2\x86\x9112.8% -BioNTech 1st dose 12214 \xe2\x86\x913.9% 2nd dose 20888 \xe2\x86\x9118.5% Total Doses 1704394 -SV 811348 BNT 893046 -1st dose 1055517 SV 473151 BNT 582366 -2nd dose 648877 SV 338197 BNT 310680'
Sat May 08 14:16:54 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 8 Vaccinations 14.122% of population vaccinated 8.682% fully vaccinated 22.804 doses administered/100 people 0.229% newly vaccinated May 8: 41970 \xe2\x86\x919.6% -1st dose 17099 \xe2\x86\x930.3% -2nd dose 24871 \xe2\x86\x9117.5% -Sinovac 8868 \xe2\x86\x930.6% -BioNTech 33102 \xe2\x86\x9112.6%'
Sat May 08 12:43:00 +0000 2021	{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.3009}	b"I wished more people chose to protest by getting the Biontech vaccine over the sinovac vaccine. Right now, it just seems people don't want to get vaccinated."
Sat May 08 11:46:42 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b"I'm out talking about the pandemic or Sinovac. I'm talking about BioNTech vaccine."
